gender;Age;Attitude;deep;stra;surf;Points
F;53;0.037;3.583333333;3.375;2.583333333;25
M;55;0.031;2.916666667;2.75;3.166666667;12
F;49;0.025;3.5;3.625;2.25;24
M;53;0.035;3.5;3.125;2.25;10
M;49;0.037;3.666666667;3.625;2.833333333;22
F;38;0.038;4.75;3.625;2.416666667;21
M;50;0.035;3.833333333;2.25;1.916666667;21
F;37;0.029;3.25;4;2.833333333;31
M;37;0.038;4.333333333;4.25;2.166666667;24
F;42;0.021;4;3.5;3;26
M;37;0.039;3.583333333;3.625;2.666666667;31
F;34;0.038;3.833333333;4.75;2.416666667;31
F;34;0.024;4.25;3.625;2.25;23
F;34;0.03;3.333333333;3.5;2.75;25
M;35;0.026;4.166666667;1.75;2.333333333;21
F;33;0.041;3.666666667;3.875;2.333333333;31
F;32;0.026;4.083333333;1.375;2.916666667;20
F;44;0.026;3.5;3.25;2.5;22
M;29;0.017;4.083333333;3;3.75;9
F;30;0.027;4;3.75;2.75;24
M;27;0.039;3.916666667;2.625;2.333333333;28
M;29;0.034;4;2.375;2.416666667;30
F;31;0.027;4;3.625;3;24
F;37;0.023;3.666666667;2.75;2.416666667;9
F;26;0.037;3.666666667;1.75;2.833333333;26
F;26;0.044;4.416666667;3.25;3.166666667;32
M;30;0.041;3.916666667;4;3;32
F;33;0.037;3.75;3.625;2;33
F;33;0.025;3.25;2.875;3.5;29
M;28;0.03;3.583333333;3;3.75;30
M;26;0.034;4.916666667;1.625;2.5;19
F;27;0.032;3.583333333;3.25;2.083333333;23
F;25;0.02;2.916666667;3.5;2.416666667;19
F;31;0.024;3.666666667;3;2.583333333;12
M;20;0.042;4.5;3.25;1.583333333;10
F;39;0.016;4.083333333;1.875;2.833333333;11
M;38;0.031;3.833333333;4.375;1.833333333;20
M;24;0.038;3.25;3.625;2.416666667;26
M;26;0.038;2.333333333;2.5;3.25;31
M;25;0.033;3.333333333;1.25;3.416666667;20
F;30;0.017;4.083333333;4;3.416666667;23
F;25;0.025;2.916666667;3;3.166666667;12
M;30;0.032;3.333333333;2.5;3.5;24
F;48;0.035;3.833333333;4.875;2.666666667;17
F;24;0.032;3.666666667;5;2.416666667;29
F;40;0.042;4.666666667;4.375;3.583333333;23
M;25;0.031;3.75;3.25;2.083333333;28
F;23;0.039;3.416666667;4;3.75;31
F;25;0.019;4.166666667;3.125;2.916666667;23
F;23;0.021;2.916666667;2.5;2.916666667;25
M;27;0.025;4.166666667;3.125;2.416666667;18
M;25;0.032;3.583333333;3.25;3;19
M;23;0.032;2.833333333;2.125;3.416666667;22
F;23;0.026;4;2.75;2.916666667;25
F;23;0.023;2.916666667;2.375;3.25;21
F;45;0.038;3;3.125;3.25;9
F;22;0.028;4.083333333;4;2.333333333;28
F;23;0.033;2.916666667;4;3.25;25
M;21;0.048;3.5;2.25;2.5;29
M;21;0.04;4.333333333;3.25;1.75;33
F;21;0.04;4.25;3.625;2.25;33
F;21;0.047;3.416666667;3.625;2.083333333;25
F;26;0.023;3.083333333;2.5;2.833333333;18
F;25;0.031;4.583333333;1.875;2.833333333;22
F;26;0.027;3.416666667;2;2.416666667;17
M;21;0.041;3.416666667;1.875;2.25;25
F;23;0.034;3.416666667;4;2.833333333;28
F;22;0.025;3.583333333;2.875;2.25;22
F;22;0.021;1.583333333;3.875;1.833333333;26
F;22;0.014;3.333333333;2.5;2.916666667;11
F;23;0.019;4.333333333;2.75;2.916666667;29
M;22;0.037;4.416666667;4.5;2.083333333;22
M;23;0.032;4.833333333;3.375;2.333333333;21
M;24;0.028;3.083333333;2.625;2.416666667;28
F;22;0.041;3;4.125;2.75;33
F;23;0.025;4.083333333;2.625;3.25;16
M;22;0.028;4.083333333;2.25;1.75;31
M;20;0.038;3.75;2.75;2.583333333;22
M;22;0.031;3.083333333;3;3.333333333;31
M;21;0.035;4.75;1.625;2.833333333;23
F;22;0.036;4.25;1.875;2.5;26
F;23;0.026;4.166666667;3.375;2.416666667;12
M;21;0.044;4.416666667;3.75;2.416666667;26
M;22;0.045;3.833333333;2.125;2.583333333;31
M;29;0.032;3.333333333;2.375;3;19
F;29;0.039;3.166666667;2.75;2;30
F;21;0.025;3.166666667;3.125;3.416666667;12
M;28;0.033;3.833333333;3.5;2.833333333;17
F;21;0.033;4.25;2.625;2.25;18
F;30;0.03;3.833333333;3.375;2.75;19
F;21;0.029;3.666666667;2.25;3.916666667;21
M;23;0.033;3.833333333;3;2.333333333;24
F;21;0.033;3.833333333;4;2.75;28
F;21;0.035;3.833333333;3.5;2.75;17
F;20;0.036;3.666666667;2.625;2.916666667;18
M;22;0.037;4.333333333;2.5;2.083333333;17
M;21;0.042;3.75;3.75;3.666666667;23
M;21;0.032;4.166666667;3.625;2.833333333;26
F;20;0.05;4;4.125;3.416666667;28
M;22;0.047;4;4.375;1.583333333;31
F;20;0.036;4.583333333;2.625;2.916666667;27
F;20;0.036;3.666666667;4;3;25
M;24;0.029;3.666666667;2.75;2.916666667;23
F;20;0.035;3.833333333;2.75;2.666666667;21
F;19;0.04;2.583333333;1.375;3;27
F;21;0.035;3.5;2.25;2.75;28
F;21;0.032;3.083333333;3.625;3.083333333;23
F;22;0.026;4.25;3.75;2.5;21
F;25;0.02;3.166666667;4;2.333333333;25
F;21;0.027;3.083333333;3.125;3;11
F;22;0.032;4.166666667;3.25;3;19
F;25;0.033;2.25;2.125;4;24
F;20;0.039;3.333333333;2.875;3.25;28
M;24;0.033;3.083333333;1.5;3.5;21
F;20;0.03;2.75;2.5;3.5;24
M;21;0.037;3.25;3.25;3.833333333;24
F;20;0.025;4;3.625;2.916666667;20
F;20;0.029;3.583333333;3.875;2.166666667;19
M;31;0.039;4.083333333;3.875;1.666666667;30
F;20;0.036;4.25;2.375;2.083333333;22
F;22;0.029;3.416666667;3;2.833333333;16
F;22;0.021;3.083333333;3.375;3.416666667;16
M;21;0.031;3.5;2.75;3.333333333;19
M;22;0.04;3.666666667;4.5;2.583333333;30
F;21;0.031;4.25;2.625;2.833333333;23
F;21;0.023;4.25;2.75;3.333333333;19
F;21;0.028;3.833333333;3.25;3;18
F;21;0.037;4.416666667;4.125;2.583333333;28
F;20;0.026;3.5;3.375;2.416666667;21
F;21;0.024;3.583333333;2.75;3.583333333;19
F;25;0.03;3.666666667;4.125;2.083333333;27
M;21;0.028;2.083333333;3.25;4.333333333;24
F;24;0.029;4.25;2.875;2.666666667;21
F;20;0.024;3.583333333;2.875;3;20
M;21;0.031;4;2.375;2.666666667;28
F;20;0.019;3.333333333;3.875;2.166666667;12
F;20;0.02;3.5;2.125;2.666666667;21
F;18;0.038;3.166666667;4;2.25;28
F;21;0.034;3.583333333;3.25;2.666666667;31
F;19;0.037;3.416666667;2.625;3.333333333;18
F;21;0.029;4.25;2.75;3.5;25
F;20;0.023;3.25;4;2.75;19
M;21;0.041;4.416666667;3;2;21
F;20;0.027;3.25;3.375;2.833333333;16
F;21;0.035;3.916666667;3.875;3.5;7
F;20;0.034;3.583333333;3.25;2.5;21
F;18;0.032;4.5;3.375;3.166666667;17
M;22;0.033;3.583333333;4.125;3.083333333;22
F;22;0.033;3.666666667;3.5;2.916666667;18
M;24;0.035;2.583333333;2;3.166666667;25
F;19;0.032;4.166666667;3.625;2.5;24
F;20;0.031;3.25;3.375;3.833333333;23
F;20;0.028;4.333333333;2.125;2.25;23
F;17;0.017;3.916666667;4.625;3.416666667;26
M;19;0.019;2.666666667;2.5;3.75;12
F;20;0.035;3.083333333;2.875;3;32
F;20;0.024;3.75;2.75;2.583333333;22
F;20;0.021;4.166666667;4;3.333333333;20
F;20;0.029;4.166666667;2.375;2.833333333;21
F;19;0.019;3.25;3.875;3;23
F;19;0.02;4.083333333;3.375;2.833333333;20
F;22;0.042;2.916666667;1.75;3.166666667;28
M;35;0.041;3.833333333;3;2.75;31
F;18;0.037;3.166666667;2.625;3.416666667;18
F;19;0.036;3.416666667;2.625;3;30
M;21;0.018;4.083333333;3.375;2.666666667;19
